software_string,type,cpe_part,vendor,product,cna_source,cpe_combined_score,vendor_similarity_score,product_similarity_score,vendor_simple_similarity,product_simple_similarity,vendor_product_count,vendor_vulnerability_count,product_vulnerability_count,recommender_level,recommender_order,recommender_type
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,windows_server_2008,Microsoft Corporation,1,0.050396025,0.025158143,1,1,5032,16642,1070,PRODUCT,HIGHEST,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,windows_server_2012,Microsoft Corporation,0.9951,0.050396025,0.116336026,1,0.925925926,5032,16642,1010,PRODUCT,HIGH,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,windows_server_2019,Microsoft Corporation,0.9921,0.050396025,0.131683479,1,0.923760431,5032,16642,889,PRODUCT,HIGH,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,windows_server_2016,Microsoft Corporation,0.9916,0.050396025,0.208305019,1,0.923760431,5032,16642,3111,PRODUCT,HIGH,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,sql_server_2016,Microsoft Corporation,0.9882,0.050396025,-0.205150476,1,0.706417257,5032,16642,0,PRODUCT,MEDIUM,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,sql_server_2017,Microsoft Corporation,0.9882,0.050396025,-0.324759136,1,0.706417257,5032,16642,0,PRODUCT,MEDIUM,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,windows_2003_server,Microsoft Corporation,0.9843,0.050396025,0.156328571,1,0.962962963,5032,16642,0,PRODUCT,HIGH,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,windows_server_2003,Microsoft Corporation,0.9843,0.050396025,-0.041364675,1,0.962962963,5032,16642,0,PRODUCT,HIGH,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,excel_web_app_2013,Microsoft Corporation,0.9634,0.050396025,0.32390102,1,0.441414795,5032,16642,0,PRODUCT,MEDIUM,application
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,windows_2000_resource_kit,Microsoft Corporation,0.9609,0.050396025,-0.109736247,1,0.882441898,5032,16642,0,PRODUCT,HIGH,application
Microsoft:Windows Server 2008,SOFTWARE,o,microsoft,windows_small_business_server_2011,Microsoft Corporation,0.9458,0.050396025,-0.181224797,1,0.784464541,5032,16642,2,PRODUCT,MEDIUM,operatingsystem
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,sql_server_2017_reporting_services,Microsoft Corporation,0.9446,0.050396025,0.002089851,1,0.767839795,5032,16642,0,PRODUCT,MEDIUM,application
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,sql_server_2019_reporting_services,Microsoft Corporation,0.9396,0.050396025,-0.032261314,1,0.767839795,5032,16642,0,PRODUCT,MEDIUM,application
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,sharepoint_enterprise_server_2013,Microsoft Corporation,0.9387,0.050396025,-0.060078689,1,0.734439312,5032,16642,0,PRODUCT,MEDIUM,application
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,visual_studio_2015,Microsoft Corporation,0.9335,0.050396025,0.012510725,1,0.492365964,5032,16642,3,PRODUCT,LOW,application
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,sharepoint_enterprise_server_2016,Microsoft Corporation,0.9313,0.050396025,0.036488692,1,0.734439312,5032,16642,0,PRODUCT,MEDIUM,application
:Joomla!,SOFTWARE,a,joomla,joomla\!,UNKNOWN,1,0,0.894948358,0,1,393,53,53,VENDOR,HIGH,application
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,sharepoint_server_2010,Microsoft Corporation,0.9264,0.050396025,0.029290784,1,0.801875374,5032,16642,0,PRODUCT,LOW,application
Cisco:Catalyst,HARDWARE,h,cisco,catalyst_c9300-24u,"Cisco Systems, Inc.",1,0.192943885,0.072431223,1,0.766032346,30872,18241,15,PRODUCT,HIGH,hardware
Cisco:Catalyst,HARDWARE,h,cisco,catalyst_c9500-24q,"Cisco Systems, Inc.",1,0.192943885,0.072431223,1,0.766032346,30872,18241,15,PRODUCT,HIGH,hardware
Cisco:Catalyst,HARDWARE,h,cisco,catalyst_c9500-12q,"Cisco Systems, Inc.",1,0.192943885,0.072431223,1,0.766032346,30872,18241,15,PRODUCT,HIGH,hardware
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigate_100f,"Fortinet, Inc.",0.5763,0.052864245,0,1,0.880408778,1344,154,1,PRODUCT,MEDIUM,hardware
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigate_400e,"Fortinet, Inc.",0.5523,0.052864245,0,1,0.880408778,1344,154,1,PRODUCT,MEDIUM,hardware
Apple:Bandai Pippin,HARDWARE,h,apple,ipad_mini-,Adobe Systems Incorporated,0.4632,0.216040846,0.221674692,1,0.858629663,2386,2890,0,PRODUCT,MEDIUM,hardware
Cisco:Catalyst,HARDWARE,h,cisco,catalyst_c9300-48u,"Cisco Systems, Inc.",1,0.192943885,0.072431223,1,0.766032346,30872,18241,15,PRODUCT,HIGH,hardware
Apple:Bandai Pippin,HARDWARE,h,apple,ipad_mini,Adobe Systems Incorporated,0.4632,0.216040846,0.164918434,1,0.858629663,2386,2890,0,PRODUCT,MEDIUM,hardware
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigate-50b,"Fortinet, Inc.",0.6244,0.052864245,0,1,0.854704323,1344,154,0,PRODUCT,MEDIUM,hardware
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigate-40c,"Fortinet, Inc.",0.6193,0.052864245,0,1,0.854704323,1344,154,0,PRODUCT,MEDIUM,hardware
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigate-20c,"Fortinet, Inc.",0.6104,0.052864245,0,1,0.854704323,1344,154,0,PRODUCT,MEDIUM,hardware
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigate-60c,"Fortinet, Inc.",0.5964,0.052864245,0,1,0.854704323,1344,154,0,PRODUCT,MEDIUM,hardware
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigate-80c,"Fortinet, Inc.",0.5806,0.052864245,0,1,0.854704323,1344,154,0,PRODUCT,MEDIUM,hardware
Cisco:Nexus 7700,HARDWARE,h,cisco,nexus_9000v,"Cisco Systems, Inc.",1,0.192943885,0.508461975,1,0.76271277,30872,18241,12,PRODUCT,HIGH,hardware
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigaterugged-100c,"Fortinet, Inc.",0.5647,0.052864245,0,1,0.853610062,1344,154,0,PRODUCT,MEDIUM,hardware
Apple:Bandai Pippin,HARDWARE,h,apple,ipad,Adobe Systems Incorporated,0.469,0.216040846,0.233843761,1,0.850420064,2386,2890,0,PRODUCT,MEDIUM,hardware
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,windows_2000_terminal_services,Microsoft Corporation,0.8865,0.050396025,-0.001162907,1,0.892172298,5032,16642,0,PRODUCT,LOW,application
Microsoft:Windows Server 2008,SOFTWARE,a,microsoft,.net_windows_server,Microsoft Corporation,0.8828,0.050396025,-0.19739322,1,0.843274043,5032,16642,0,PRODUCT,LOW,application
Apple:Paladin,HARDWARE,h,apple,ipad,Adobe Systems Incorporated,0.486,0.216040846,0.042914851,1,0.833333333,2386,2890,0,PRODUCT,MEDIUM,hardware
Cisco:Nexus 7700,HARDWARE,a,cisco,nexus_1000v,"Cisco Systems, Inc.",1,0.192943885,-0.70423417,1,0.76271277,30872,18241,8,PRODUCT,HIGH,application
Fortinet:FortiGate FG-30E,HARDWARE,h,fortinet,fortigate-200b,"Fortinet, Inc.",0.5743,0.052864245,0,1,0.827340304,1344,154,0,PRODUCT,MEDIUM,hardware
Adobe:Systems Incorporated,SOFTWARE,a,adobe,coldfusion_.net_integration_services,Adobe Systems Incorporated,0.6865,0.316640541,-0.009834808,1,0.825722824,3230,1297,0,PRODUCT,MEDIUM,application
Adobe:Systems Incorporated,SOFTWARE,a,adobe,marketo_sales_insight,Adobe Systems Incorporated,0.6766,0.316640541,-0.0502919,1,0.818181818,3230,1297,1,PRODUCT,MEDIUM,application
Adobe:Acrobat DC,SOFTWARE,a,adobe,acrobat_reader,Adobe Systems Incorporated,0.6922,0.316640541,-0.094412675,1,0.800640769,3230,1297,21,PRODUCT,MEDIUM,application
Microsoft:PowerPoint Viewer,SOFTWARE,a,microsoft,wordperfect_converter,Microsoft Corporation,0.9932,0.050396025,0.369639897,1,0.8,5032,16642,0,PRODUCT,LOW,application
Apple:Watch,HARDWARE,a,apple,ichat,Adobe Systems Incorporated,0.9255,0.216040846,-0.171378571,1,0.8,2386,2890,0,PRODUCT,LOW,application
